Pavarde     Vardas      ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  Egzaminas
Pavarde1    Vardas1     10   9    8    7    4    4    3    10   8
Pavarde2    Vardas2     10   9    3    7    6    4    3    10   8
Pavarde3    Vardas3     10   9    8    8    6    4    2    10   8
Pavarde4    Vardas4     10   9    8    7    6    4    3    10   8
Pavarde5    Vardas5     10   9    8    7    6    4    3    10   8
Pavarde6    Vardas6     10   9    4    7    6    4    3    10   8
Pavarde7    Vardas7     10   9    8    7    5    4    3    10   8
Pavarde8    Vardas8     10   9    8    7    6    4    3    10   8
Pavarde9    Vardas9     10   9    8    7    6    4    3    10   8
Pavarde10   Vardas10    10   9    9    7    6    4    3    10   8
Pavarde11   Vardas11    10   9    5    7    6    4    3    10   8
Pavarde12   Vardas12    10   9    8    7    6    1    3    10   8
